int_corr,0.36208107728614924
like,0.28743799573665701
like_o,0.26228807951788513
attr_o,0.25416951149309991
attr,0.21874219298831662
prob,0.17615055994207091
prob_o,0.15083535268835158
fun,0.12170726527303909
art,0.11340009972074995
round,0.10736810311190434
fun_o,0.0993844272396643
numdat_2,0.095171299318681624
met,0.036308448252819113
amb_o,-0.044605183026177733
attr3_2,-0.068306357077119711
sinc_o,-0.083320406458074855
sinc,-0.086293725437890004
go_out,-0.08729219403289612
museums,-0.099486632941781325
fun3_1,-0.11114803153493839
samerace,-0.24886628254521206
met_o,-0.2831114956868177
condtn,-1.3189089369893829
