like,0.63193301201321983
like_o,0.59116005373231417
attr_o,0.58976153505632511
attr,0.51492199797131533
round,0.51241738620312716
prob,0.4164511992657588
prob_o,0.3599214176563133
fun,0.29996769425200004
art,0.24977519950674984
fun_o,0.24326744102336645
int_corr,0.1170328417629332
numdat_2,0.097454816652786921
met,0.062088207734701313
met_o,-0.039641975209086321
go_out,-0.067261616617429631
amb_o,-0.099955753938894568
samerace,-0.12340503698026174
sinc_o,-0.14690296030673478
sinc,-0.14768882742445136
fun3_1,-0.15629124232405281
attr3_2,-0.17186422499896226
museums,-0.17263782782179582
condtn,-0.48370300067629207
